Date;Year;Length;Title;Subject;Actor;Actress;Director;Popularity;Awards;*Image
02/10/18;1990;111;Tie;Me;Up!;Tie;Me;Down!;Comedy;Banderas,
03/10/18;1991;113;High;Heels;Comedy;Bos�,;Miguel;Abril,;Victoria;Almod�var,
04/10/18;1983;104;Dead;Zone,;The;Horror;Walken,;Christopher;Adams,;Brooke
05/10/18;1979;122;Cuba;Action;Connery,;Sean;Adams,;Brooke;Lester,;Richard
06/10/18;1978;94;Days;of;Heaven;Drama;Gere,;Richard;Adams,;Brooke
07/10/18;1983;140;Octopussy;Action;Moore,;Roger;Adams,;Maud;Glen,;John
08/10/18;1984;101;Target;Eagle;Action;Connors,;Chuck;Adams,;Maud;Loma,
09/10/18;1989;99;American;Angels:;Baptism;of;Blood,;The;Drama;Bergen,
10/10/18;1985;104;Subway;Drama;Lambert,;Christopher;Adjani,;Isabelle;Besson,;Luc
11/10/18;1990;149;Camille;Claudel;Drama;Depardieu,;G�rard;Adjani,;Isabelle;Nuytten,
12/10/18;1982;188;Fanny;and;Alexander;Drama;Ahlstedt,;B�rje;Adolphson,;Kristina
13/10/18;1982;117;Tragedy;of;a;Ridiculous;Man;Drama;Tognazzi,;Ugo
14/10/18;1966;103;A;Man;&;a;Woman;Drama;Trintignant,;Jean-Louis
15/10/18;1986;112;A;Man;&;a;Woman:;Twenty;Years;Later
16/10/18;1966;103;Un;Hombre;y;una;Mujer;Drama;Trintignant,;Jean-Louis
17/10/18;1985;112;Official;Story,;The;Drama;Alterio,;Hector;Aleandro,;Norma
18/10/18;1976;150;Lindbergh;Kidnapping;Case,;The;Drama;Hopkins,;Anthony;Alexander,
19/10/18;1929;84;Blackmail;Mystery;Longden,;John;Algood,;Sara;Hitchcock,;Alfred
20/10/18;1963;109;Donovan's;Reef;Comedy;Wayne,;John;Allen,;Elizabeth;Ford,
21/10/18;1988;110;Tucker:;The;Man;&;His;Dream;Drama;Bridges,
22/10/18;1988;101;Scrooged;Comedy;Murray,;Bill;Allen,;Karen;Donner,;Richard
23/10/18;1981;116;Raiders;of;the;Lost;Ark;Action;Ford,;Harrison
24/10/18;1987;101;Running;Man,;The;Science;Fiction;Schwarzenegger,;Arnold;Alonso,
25/10/18;1991;105;Predator;2;Action;Glover,;Danny;Alonso,;Maria;Conchita
26/10/18;1988;127;Colors;Drama;Penn,;Sean;Alonso,;Maria;Conchita;Hopper,
27/10/18;1990;97;Zandalee;Drama;Cage,;Nicolas;Anderson,;Erika;Pillsbury,;Sam
28/10/18;1988;108;Miles;from;Home;Drama;Anderson,;Kevin;Anderson,;Jo
29/10/18;1980;;Happy;Birthday;to;Me;Horror;Ford,;Glenn;Anderson,
30/10/18;1989;88;Final;Notice;Mystery;Gerard,;Gil;Anderson,;Melody;Stern,
31/10/18;1979;110;Quintet;Drama;Newman,;Paul;Andersson,;Bibi;Altman,;Robert
01/11/18;1960;90;Devil's;Eye,;The;Drama;Kulle,;Jarl;Andersson,;Bibi
02/11/18;1957;91;Wild;Strawberries;Drama;Sj�str�m,;Victor;Andersson,;Bibi;Bergman,
03/11/18;1956;96;Seventh;Seal,;The;Drama;Sydow,;Max;von;Andersson,
04/11/18;1992;90;Germicide;Drama;Taylor,;Rod;Andersson,;Bibi;;36
05/11/18;1955;86;Dreams;Drama;Bj�rnstrand,;Gunnar;Andersson,;Harriet;Bergman,;Ingmar
06/11/18;1955;95;Naked;Night,;The;Drama;Bj�rnstrand,;Gunnar;Andersson,;Harriet
07/11/18;1962;91;Through;a;Glass;Darkly;Drama;Bj�rnstrand,;Gunnar;Andersson,
08/11/18;1972;91;Cries;&;Whispers;Drama;Josephson,;Erland;Andersson,;Harriet
09/11/18;1958;104;Barbarian;&;the;Geisha,;The;Action;Wayne,;John
10/11/18;1967;130;Casino;Royale;Comedy;Niven,;David;Andress,;Ursula;Hughes,
11/11/18;1962;;Dr.;No;Action;Connery,;Sean;Andress,;Ursula;Young,
12/11/18;1954;103;Elephant;Walk;Drama;Finch,;Peter;Andrews,;Dana;
13/11/18;1979;121;Ten;Comedy;Moore,;Dudley;Andrews,;Julie;Edwards,;Blake
14/11/18;1983;118;Man;Who;Loved;Women,;The;Comedy;Reynolds,;Burt
15/11/18;1966;190;Hawaii;Drama;Sydow,;Max;von;Andrews,;Julie;Hill,
16/11/18;1966;125;Torn;Curtain;Mystery;Newman,;Paul;Andrews,;Julie;Hitchcock,
17/11/18;1986;107;Duet;for;One;Drama;Bates,;Alan;Andrews,;Julie
18/11/18;1965;172;Sound;of;Music,;The;Music;Plummer,;Christopher;Andrews,
19/11/18;1985;55;Gonzo;Presents;Muppet;Weird;Stuff;Comedy;Cleese,;John
20/11/18;1984;140;Tartuffe;Comedy;Depardieu,;G�rard;Annen,;Paule;Depardieu,;G�rard
21/11/18;1988;104;A;New;Life;Comedy;Alda,;Alan;Ann-Margret;Alda,
22/11/18;1978;106;Magic;Mystery;Hopkins,;Anthony;Ann-Margret;Attenborough,;Richard;85
23/11/18;1992;286;Tommy;Music;Daltry,;Roger;Ann-Margret;Russell,;Ken;5
24/11/18;1978;108;Big;Fix,;The;Mystery;Dreyfuss,;Richard;Anspach,;Susan
25/11/18;1992;95;Alan;&;Naomi;Drama;Haas,;Lukas;Aquino,;Vanessa
26/11/18;1987;120;Fatal;Attraction;Mystery;Douglas,;Michael;Archer,;Anne;Lyne,
27/11/18;1992;117;Patriot;Games;Action;Ford,;Harrison;Archer,;Anne;Noyce,
28/11/18;1981;106;Woman;Next;Door,;The;Drama;Depardieu,;G�rard;Ardant,
29/11/18;1992;97;Hunting;Mystery;Savage,;John;Armstrong,;Kerry;Howson,;Frank
30/11/18;1991;115;Bataan;War;Taylor,;Robert;Arnaz,;Desi;;68
01/12/18;1924;110;Siegfried,;The;Nibelungenlied;Drama;Richter,;Paul;Arnold,;Gertrud
02/12/18;1991;90;Henry,;Portrait;of;a;Serial;Killer;Horror;Rooker,
03/12/18;1988;118;Big;Blue,;The;Drama;Barr,;Jean-Marc;Arquette,;Rosanna
04/12/18;1991;115;Flight;of;the;Intruder;Drama;Glover,;Danny;Arquette,
05/12/18;1986;108;Nobody's;Fool;Comedy;Roberts,;Eric;Arquette,;Rosanna;Purcell,
06/12/18;1985;97;After;Hours;Comedy;Dunne,;Griffin;Arquette,;Rosanna;Scorsese,
07/12/18;1985;104;Desperately;Seeking;Susan;Comedy;Quinn,;Aidan;Arquette,;Rosanna
08/12/18;1971;102;A;New;Leaf;Comedy;Matthau,;Walter;Arrick,;Rose
09/12/18;1959;91;Killers;of;Kilimanjaro;Action;Taylor,;Robert;Aslan,;Gregoire
10/12/18;1926;126;Don;Juan;Action;Barrymore,;John;Astor,;Mary;Crosland,
11/12/18;1987;102;Babette's;Feast;Drama;LaFont,;Jean-Philippe;Audran,;St�phane;Axel,
12/12/18;1989;118;Vincent,;Francois,;Paul;&;the;Others;Drama;Montand,
13/12/18;1988;141;Thunderball;Action;Connery,;Sean;Auger,;Claudine;Young,;Terrence
14/12/18;1926;66;Lodger;(Story;of;the;London;Fog);Mystery;Chesney,
15/12/18;1988;103;Appointment;with;Death;Mystery;Ustinov,;Peter;Bacall,;Lauren
16/12/18;1974;128;Murder;on;the;Orient;Express;Mystery;Balsam,;Martin
17/12/18;1955;115;Blood;Alley;War;Wayne,;John;Bacall,;Lauren;Wellman,
18/12/18;1977;136;Spy;Who;Loved;Me,;The;Action;Moore,;Roger
19/12/18;1988;100;Storm;Action;Palfy,;David;Bahtia,;Stacy;Christensen;Winning,
20/12/18;1991;89;Bloodbath;Horror;Hopper,;Dennis;Baker,;Carroll;;37
21/12/18;1989;103;Miami;Cops;Action;Roundtree,;Richard;Baker,;Dawn;Bradley,
22/12/18;1996;96;Island;of;Dr.;Moreau,;The;Horror;Thewlis,;David
23/12/18;1992;100;Eighty-Four;Charing;Cross;Road;Drama;Hopkins,;Anthony;Bancroft,
24/12/18;1980;124;Elephant;Man,;The;Drama;Hopkins,;Anthony;Bancroft,;Anne
25/12/18;1988;90;Dr;Alien;Science;Fiction;Jacoby,;Billy;Barash,;Olivia
26/12/18;1982;120;Creepshow;Horror;Holbrook,;Hal;Barbeau,;Adrienne;Romero,;George
27/12/18;1987;100;Sammy;&;Rosie;Get;Laid;Drama;Din,;Ayub
28/12/18;1971;101;Goalie's;Anxiety;at;the;Penalty;Kick,;The;Drama
29/12/18;1957;99;Mademoiselle;Striptease;Comedy;Gelin,;Daniel;Bardot,;Brigitte;Allegret,
30/12/18;1969;86;Women,;The;Drama;Ronet,;Maurice;Bardot,;Brigitte;Aurel,
31/12/18;1958;77;That;Naughty;Girl;Comedy;Bretonniere,;Jean;Bardot,;Brigitte
01/01/19;1959;90;Voulez-Vous;Danser;Avec;Moi?;Comedy;Vidal,;Henri;Bardot,
02/01/19;1967;100;A;Coeur;Joie,;(Head;Over;Heels);Action;Terzieff,
03/01/19;1968;113;Shalako;Westerns;Connery,;Sean;Bardot,;Brigitte;Dmytryk,;Edward
04/01/19;1964;102;Contempt;Drama;Palance,;Jack;Bardot,;Brigitte;Godard,;Jean-Luc
05/01/19;1965;100;Dear;Brigitte;Comedy;Mumy,;Billy;Bardot,;Brigitte;Koster,
06/01/19;1962;134;A;Very;Private;Affair;Drama;Mastroianni,;Marcello;Bardot,
07/01/19;1964;99;Ravishing;Idiot,;The;Comedy;Perkins,;Anthony;Bardot,;Brigitte
